unique,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
40,02-01-2011 16:00,1,0,0,3,13.94,16.665,71,11.0014,9,67,76
41,02-01-2011 17:00,1,0,0,1,13.94,16.665,57,12.998,7,58,65
42,02-01-2011 18:00,1,0,0,2,14.76,16.665,46,22.0028,10,43,53
43,02-01-2011 19:00,1,0,0,1,13.12,14.395,42,30.0026,1,29,30
44,02-01-2011 20:00,1,0,0,1,12.3,13.635,39,23.9994,5,17,22
45,02-01-2011 21:00,1,0,0,1,10.66,11.365,44,22.0028,11,20,31
46,02-01-2011 22:00,1,0,0,1,9.84,10.605,44,19.9995,0,9,9
47,02-01-2011 23:00,1,0,0,1,9.02,11.365,47,11.0014,0,8,8
48,03-01-2011 00:00,1,0,1,1,9.02,9.85,44,23.9994,0,5,5
49,03-01-2011 01:00,1,0,1,1,8.2,8.335,44,27.9993,0,2,2
50,03-01-2011 04:00,1,0,1,1,6.56,6.82,47,26.0027,0,1,1
51,03-01-2011 05:00,1,0,1,1,6.56,6.82,47,19.0012,0,3,3
52,03-01-2011 06:00,1,0,1,1,5.74,5.305,50,26.0027,0,30,30
53,03-01-2011 07:00,1,0,1,1,5.74,6.82,50,12.998,1,63,64
54,03-01-2011 08:00,1,0,1,1,5.74,6.06,50,19.0012,1,153,154
55,03-01-2011 09:00,1,0,1,1,6.56,6.82,43,26.0027,7,81,88
56,03-01-2011 10:00,1,0,1,1,7.38,8.335,43,16.9979,11,33,44
57,03-01-2011 11:00,1,0,1,1,8.2,9.09,40,22.0028,10,41,51
58,03-01-2011 12:00,1,0,1,1,9.02,10.605,35,19.9995,13,48,61
59,03-01-2011 13:00,1,0,1,1,9.84,10.605,35,19.0012,8,53,61
60,03-01-2011 14:00,1,0,1,1,10.66,12.12,30,19.0012,11,66,77
61,03-01-2011 15:00,1,0,1,1,10.66,12.12,30,16.9979,14,58,72
62,03-01-2011 16:00,1,0,1,1,10.66,12.12,30,16.9979,9,67,76
63,03-01-2011 17:00,1,0,1,1,9.84,11.365,30,15.0013,11,146,157
64,03-01-2011 18:00,1,0,1,1,9.84,12.88,32,7.0015,9,148,157
65,03-01-2011 19:00,1,0,1,1,8.2,12.88,47,0,8,102,110
66,03-01-2011 20:00,1,0,1,1,8.2,11.365,47,7.0015,3,49,52
67,03-01-2011 21:00,1,0,1,1,7.38,9.85,64,8.9981,3,49,52
68,03-01-2011 22:00,1,0,1,1,5.74,7.575,69,8.9981,0,20,20
69,03-01-2011 23:00,1,0,1,1,7.38,10.605,55,7.0015,1,11,12
70,04-01-2011 00:00,1,0,1,1,6.56,9.09,55,7.0015,0,5,5
71,04-01-2011 01:00,1,0,1,1,6.56,9.09,59,7.0015,0,2,2
72,04-01-2011 02:00,1,0,1,1,5.74,7.575,63,8.9981,0,1,1
73,04-01-2011 04:00,1,0,1,1,5.74,9.09,63,6.0032,0,2,2
74,04-01-2011 05:00,1,0,1,1,4.92,7.575,68,7.0015,0,4,4
75,04-01-2011 06:00,1,0,1,1,4.92,7.575,74,7.0015,0,36,36
76,04-01-2011 07:00,1,0,1,1,4.92,7.575,74,8.9981,2,92,94
77,04-01-2011 08:00,1,0,1,1,5.74,7.575,69,11.0014,2,177,179
78,04-01-2011 09:00,1,0,1,1,6.56,7.575,64,15.0013,2,98,100
79,04-01-2011 10:00,1,0,1,2,6.56,6.82,69,22.0028,5,37,42
80,04-01-2011 11:00,1,0,1,1,9.02,10.605,51,19.9995,7,50,57
81,04-01-2011 12:00,1,0,1,1,9.02,11.365,51,11.0014,12,66,78
82,04-01-2011 13:00,1,0,1,1,9.84,11.365,56,12.998,18,79,97
83,04-01-2011 14:00,1,0,1,1,10.66,12.88,52,15.0013,9,54,63
84,04-01-2011 15:00,1,0,1,1,11.48,13.635,52,16.9979,17,48,65
85,04-01-2011 16:00,1,0,1,1,12.3,14.395,49,16.9979,15,68,83
86,04-01-2011 17:00,1,0,1,1,11.48,13.635,48,15.0013,10,202,212
87,04-01-2011 18:00,1,0,1,1,10.66,12.88,48,12.998,3,179,182
88,04-01-2011 19:00,1,0,1,1,9.84,12.88,48,7.0015,2,110,112
89,04-01-2011 20:00,1,0,1,1,9.84,12.88,48,7.0015,1,53,54
90,04-01-2011 21:00,1,0,1,1,9.02,13.635,64,0,0,48,48
91,04-01-2011 22:00,1,0,1,1,9.02,12.88,64,6.0032,1,34,35
92,04-01-2011 23:00,1,0,1,1,8.2,11.365,69,6.0032,2,9,11
93,05-01-2011 00:00,1,0,1,1,8.2,12.88,64,0,0,6,6
94,05-01-2011 01:00,1,0,1,1,6.56,9.85,74,6.0032,0,6,6
95,05-01-2011 02:00,1,0,1,1,6.56,9.85,74,6.0032,0,2,2
96,05-01-2011 04:00,1,0,1,1,9.84,11.365,48,15.0013,0,2,2
97,05-01-2011 05:00,1,0,1,1,9.02,11.365,47,11.0014,0,3,3
98,05-01-2011 06:00,1,0,1,1,8.2,9.85,47,15.0013,0,33,33
99,05-01-2011 07:00,1,0,1,1,7.38,9.09,43,12.998,1,87,88
100,05-01-2011 08:00,1,0,1,1,8.2,9.09,40,19.9995,3,192,195
101,05-01-2011 09:00,1,0,1,1,9.02,9.85,37,22.0028,6,109,115
102,05-01-2011 10:00,1,0,1,1,9.02,9.85,37,22.0028,4,53,57
103,05-01-2011 11:00,1,0,1,1,10.66,11.365,33,22.0028,12,34,46
104,05-01-2011 12:00,1,0,1,1,10.66,11.365,33,22.0028,5,74,79
105,05-01-2011 13:00,1,0,1,1,11.48,12.88,30,19.9995,6,65,71
106,05-01-2011 14:00,1,0,1,1,12.3,14.395,28,12.998,10,52,62
107,05-01-2011 15:00,1,0,1,1,12.3,14.395,28,12.998,7,55,62
108,05-01-2011 16:00,1,0,1,1,12.3,15.91,28,6.0032,4,85,89
109,05-01-2011 17:00,1,0,1,1,9.84,11.365,38,12.998,4,186,190
110,05-01-2011 18:00,1,0,1,1,9.84,12.12,38,8.9981,3,166,169
111,05-01-2011 19:00,1,0,1,1,9.84,12.88,38,7.0015,5,127,132
112,05-01-2011 20:00,1,0,1,1,9.02,11.365,47,11.0014,7,82,89
113,05-01-2011 21:00,1,0,1,1,8.2,9.85,51,12.998,3,40,43
114,05-01-2011 22:00,1,0,1,1,7.38,9.85,55,8.9981,1,41,42
115,05-01-2011 23:00,1,0,1,1,8.2,12.88,47,0,1,18,19
116,06-01-2011 00:00,1,0,1,1,7.38,12.12,55,0,0,11,11
117,06-01-2011 01:00,1,0,1,1,6.56,11.365,64,0,0,4,4
118,06-01-2011 02:00,1,0,1,1,6.56,11.365,64,0,0,2,2
119,06-01-2011 04:00,1,0,1,2,6.56,9.85,64,6.0032,0,1,1
120,06-01-2011 05:00,1,0,1,2,5.74,9.09,69,6.0032,0,4,4
121,06-01-2011 06:00,1,0,1,2,5.74,8.335,63,7.0015,0,36,36
122,06-01-2011 07:00,1,0,1,2,6.56,11.365,59,0,0,95,95
123,06-01-2011 08:00,1,0,1,1,6.56,11.365,59,0,3,216,219
124,06-01-2011 09:00,1,0,1,2,7.38,12.12,51,0,6,116,122
125,06-01-2011 10:00,1,0,1,1,8.2,12.88,47,0,3,42,45
126,06-01-2011 11:00,1,0,1,1,9.02,12.88,44,6.0032,2,57,59
127,06-01-2011 12:00,1,0,1,1,10.66,14.395,35,0,6,78,84
128,06-01-2011 13:00,1,0,1,1,10.66,13.635,35,7.0015,12,55,67
129,06-01-2011 14:00,1,0,1,1,11.48,13.635,36,11.0014,11,59,70
130,06-01-2011 15:00,1,0,1,1,11.48,13.635,36,0,8,54,62
131,06-01-2011 16:00,1,0,1,1,10.66,12.88,38,11.0014,12,74,86
132,06-01-2011 17:00,1,0,1,1,9.02,11.365,51,11.0014,9,163,172
133,06-01-2011 18:00,1,0,1,1,9.02,11.365,51,8.9981,5,158,163
134,06-01-2011 19:00,1,0,1,1,9.02,12.88,55,6.0032,3,109,112
135,06-01-2011 20:00,1,0,1,1,8.2,10.605,51,11.0014,3,66,69
136,06-01-2011 21:00,1,0,1,2,9.02,10.605,55,15.0013,0,48,48
137,06-01-2011 22:00,1,0,1,2,9.02,10.605,51,19.0012,1,51,52
138,06-01-2011 23:00,1,0,1,2,8.2,9.85,59,12.998,4,19,23
139,07-01-2011 00:00,1,0,1,2,8.2,9.85,64,12.998,4,13,17
140,07-01-2011 01:00,1,0,1,2,8.2,9.85,69,15.0013,2,5,7
141,07-01-2011 02:00,1,0,1,2,8.2,9.85,69,15.0013,0,1,1
142,07-01-2011 04:00,1,0,1,2,8.2,10.605,69,8.9981,0,1,1
143,07-01-2011 05:00,1,0,1,3,9.02,13.635,55,0,0,5,5
144,07-01-2011 06:00,1,0,1,2,8.2,12.88,69,0,8,26,34
145,07-01-2011 07:00,1,0,1,1,8.2,10.605,69,8.9981,8,76,84
146,07-01-2011 08:00,1,0,1,1,8.2,9.85,51,16.9979,20,190,210
147,07-01-2011 09:00,1,0,1,1,8.2,9.09,47,19.9995,9,125,134
148,07-01-2011 10:00,1,0,1,1,9.02,9.85,37,22.0028,16,47,63
149,07-01-2011 11:00,1,0,1,2,8.2,9.85,40,15.0013,19,48,67
150,07-01-2011 12:00,1,0,1,2,8.2,9.85,37,16.9979,9,50,59
151,07-01-2011 13:00,1,0,1,2,8.2,9.09,37,19.0012,9,64,73
152,07-01-2011 14:00,1,0,1,2,8.2,9.85,40,16.9979,7,43,50
153,07-01-2011 15:00,1,0,1,2,8.2,10.605,37,11.0014,9,63,72
154,07-01-2011 16:00,1,0,1,2,8.2,10.605,37,11.0014,5,82,87
155,07-01-2011 17:00,1,0,1,2,8.2,12.88,37,0,9,178,187
156,07-01-2011 18:00,1,0,1,1,8.2,11.365,40,6.0032,7,116,123
157,07-01-2011 19:00,1,0,1,1,6.56,9.85,55,6.0032,3,92,95
158,07-01-2011 20:00,1,0,1,1,7.38,10.605,47,7.0015,1,50,51
159,07-01-2011 21:00,1,0,1,1,7.38,9.85,47,8.9981,0,39,39
160,07-01-2011 22:00,1,0,1,2,7.38,9.85,43,11.0014,2,34,36
161,07-01-2011 23:00,1,0,1,2,7.38,9.85,51,11.0014,1,14,15
162,08-01-2011 00:00,1,0,0,2,7.38,9.85,51,11.0014,1,24,25
163,08-01-2011 01:00,1,0,0,2,7.38,10.605,55,6.0032,1,15,16
164,08-01-2011 02:00,1,0,0,2,7.38,12.12,55,0,3,13,16
165,08-01-2011 03:00,1,0,0,3,7.38,9.85,55,11.0014,0,7,7
166,08-01-2011 04:00,1,0,0,3,7.38,9.85,55,11.0014,0,1,1
167,08-01-2011 05:00,1,0,0,2,6.56,8.335,74,11.0014,0,5,5
168,08-01-2011 06:00,1,0,0,2,6.56,8.335,74,11.0014,0,2,2
169,08-01-2011 07:00,1,0,0,2,6.56,9.09,74,7.0015,1,8,9
170,08-01-2011 08:00,1,0,0,3,6.56,9.09,93,7.0015,0,15,15
171,08-01-2011 09:00,1,0,0,3,6.56,9.09,93,7.0015,0,20,20
172,08-01-2011 10:00,1,0,0,2,7.38,9.85,80,11.0014,5,56,61
173,08-01-2011 11:00,1,0,0,2,8.2,9.09,69,26.0027,2,60,62
174,08-01-2011 12:00,1,0,0,2,8.2,9.09,59,23.9994,8,90,98
175,08-01-2011 13:00,1,0,0,1,8.2,9.09,44,22.0028,7,95,102
176,08-01-2011 14:00,1,0,0,1,8.2,8.335,32,32.9975,12,83,95
177,08-01-2011 15:00,1,0,0,1,8.2,8.335,32,30.0026,5,69,74
178,08-01-2011 16:00,1,0,0,1,7.38,6.82,29,30.0026,8,68,76
179,08-01-2011 17:00,1,0,0,1,6.56,6.06,37,36.9974,5,64,69
180,08-01-2011 18:00,1,0,0,1,5.74,6.06,39,19.9995,3,52,55
181,08-01-2011 19:00,1,0,0,1,5.74,6.06,36,16.9979,4,26,30
182,08-01-2011 20:00,1,0,0,1,4.92,6.06,36,16.9979,0,28,28
183,08-01-2011 21:00,1,0,0,1,4.92,5.305,39,23.9994,2,35,37
184,08-01-2011 22:00,1,0,0,1,4.92,5.305,36,26.0027,1,33,34
185,08-01-2011 23:00,1,0,0,1,4.1,3.03,39,30.0026,0,22,22
186,09-01-2011 00:00,1,0,0,1,4.1,3.79,42,26.0027,1,24,25
187,09-01-2011 01:00,1,0,0,1,4.1,3.03,42,31.0009,0,12,12
188,09-01-2011 02:00,1,0,0,1,4.1,3.03,46,31.0009,0,11,11
189,09-01-2011 03:00,1,0,0,1,4.1,3.79,46,27.9993,0,4,4
190,09-01-2011 04:00,1,0,0,1,3.28,4.545,53,12.998,0,1,1
191,09-01-2011 05:00,1,0,0,1,3.28,4.545,53,12.998,0,1,1
192,09-01-2011 06:00,1,0,0,1,4.1,4.545,49,19.0012,0,1,1
193,09-01-2011 07:00,1,0,0,1,3.28,4.545,53,12.998,1,5,6
194,09-01-2011 08:00,1,0,0,1,4.1,4.545,49,19.0012,0,10,10
195,09-01-2011 09:00,1,0,0,1,4.92,3.79,46,35.0008,0,19,19
196,09-01-2011 10:00,1,0,0,1,5.74,5.305,43,26.0027,0,49,49
197,09-01-2011 11:00,1,0,0,1,6.56,6.06,40,35.0008,2,47,49
198,09-01-2011 12:00,1,0,0,1,7.38,6.82,37,30.0026,4,79,83
199,09-01-2011 13:00,1,0,0,1,8.2,8.335,34,30.0026,6,69,75
200,09-01-2011 14:00,1,0,0,1,9.02,9.09,32,31.0009,8,64,72
201,09-01-2011 15:00,1,0,0,1,9.02,9.85,35,23.9994,5,77,82
202,09-01-2011 16:00,1,0,0,1,8.2,8.335,34,30.0026,13,79,92
203,09-01-2011 17:00,1,0,0,1,7.38,7.575,37,26.0027,3,59,62
204,09-01-2011 18:00,1,0,0,1,6.56,6.82,40,22.0028,4,44,48
205,09-01-2011 19:00,1,0,0,1,6.56,6.82,43,22.0028,1,40,41
206,09-01-2011 20:00,1,0,0,1,5.74,6.06,46,16.9979,0,38,38
207,09-01-2011 21:00,1,0,0,1,5.74,5.305,46,27.9993,1,19,20
208,09-01-2011 22:00,1,0,0,1,5.74,6.06,46,19.9995,5,10,15
209,09-01-2011 23:00,1,0,0,1,4.92,6.82,50,12.998,0,6,6
210,10-01-2011 00:00,1,0,1,1,4.92,6.06,50,19.0012,2,3,5
211,10-01-2011 01:00,1,0,1,1,4.92,6.06,50,19.0012,1,0,1
212,10-01-2011 02:00,1,0,1,1,4.92,6.06,50,15.0013,0,3,3
213,10-01-2011 03:00,1,0,1,1,4.92,6.06,50,15.0013,0,1,1
214,10-01-2011 04:00,1,0,1,1,4.1,6.06,54,8.9981,1,2,3
215,10-01-2011 05:00,1,0,1,1,4.1,5.305,54,16.9979,0,3,3
216,10-01-2011 06:00,1,0,1,1,4.92,6.06,50,19.0012,0,31,31
217,10-01-2011 07:00,1,0,1,1,4.92,6.06,50,15.0013,2,75,77
218,10-01-2011 08:00,1,0,1,2,4.92,6.06,50,19.0012,4,184,188
219,10-01-2011 09:00,1,0,1,2,5.74,6.06,50,16.9979,2,92,94
220,10-01-2011 10:00,1,0,1,2,5.74,6.06,50,19.9995,0,31,31
221,10-01-2011 11:00,1,0,1,2,6.56,6.82,47,19.0012,2,28,30
222,10-01-2011 12:00,1,0,1,2,8.2,9.09,40,19.0012,5,47,52
223,10-01-2011 13:00,1,0,1,2,8.2,9.09,40,19.0012,4,50,54
224,10-01-2011 14:00,1,0,1,2,8.2,9.85,40,15.0013,0,47,47
225,10-01-2011 15:00,1,0,1,2,8.2,9.85,40,15.0013,2,43,45
226,10-01-2011 16:00,1,0,1,1,8.2,10.605,40,8.9981,4,70,74
227,10-01-2011 17:00,1,0,1,1,8.2,11.365,40,7.0015,4,174,178
228,10-01-2011 18:00,1,0,1,1,8.2,9.85,40,15.0013,1,154,155
229,10-01-2011 19:00,1,0,1,1,6.56,8.335,47,11.0014,3,92,95
230,10-01-2011 20:00,1,0,1,1,6.56,8.335,50,11.0014,1,73,74
231,10-01-2011 21:00,1,0,1,1,5.74,6.82,59,12.998,1,37,38
232,10-01-2011 22:00,1,0,1,1,5.74,7.575,59,11.0014,2,22,24
233,10-01-2011 23:00,1,0,1,1,5.74,7.575,59,11.0014,0,18,18
234,11-01-2011 00:00,1,0,1,1,5.74,8.335,59,7.0015,2,10,12
235,11-01-2011 01:00,1,0,1,1,5.74,7.575,59,11.0014,0,3,3
236,11-01-2011 02:00,1,0,1,2,6.56,7.575,55,12.998,0,3,3
237,11-01-2011 05:00,1,0,1,2,6.56,9.09,55,8.9981,0,6,6
238,11-01-2011 06:00,1,0,1,2,6.56,9.09,55,8.9981,0,27,27
239,11-01-2011 07:00,1,0,1,2,6.56,11.365,55,0,2,97,99
240,11-01-2011 08:00,1,0,1,2,7.38,10.605,51,6.0032,3,214,217
241,11-01-2011 09:00,1,0,1,2,7.38,9.85,51,11.0014,3,127,130
242,11-01-2011 10:00,1,0,1,2,8.2,10.605,51,11.0014,3,51,54
243,11-01-2011 11:00,1,0,1,2,8.2,10.605,47,8.9981,4,31,35
244,11-01-2011 12:00,1,0,1,2,8.2,11.365,51,7.0015,2,55,57
245,11-01-2011 13:00,1,0,1,2,8.2,11.365,59,6.0032,6,46,52
246,11-01-2011 14:00,1,0,1,2,8.2,11.365,59,6.0032,3,60,63
247,11-01-2011 15:00,1,0,1,2,6.56,9.85,80,6.0032,2,45,47
248,11-01-2011 16:00,1,0,1,2,6.56,7.575,86,15.0013,4,72,76
249,11-01-2011 17:00,1,0,1,2,6.56,7.575,86,15.0013,6,130,136
250,11-01-2011 18:00,1,0,1,3,6.56,9.09,93,7.0015,1,94,95
251,11-01-2011 19:00,1,0,1,3,6.56,11.365,93,0,0,51,51
252,11-01-2011 20:00,1,0,1,3,6.56,7.575,93,12.998,0,32,32
253,11-01-2011 21:00,1,0,1,3,6.56,9.85,86,6.0032,0,20,20
254,11-01-2011 22:00,1,0,1,3,6.56,9.09,93,7.0015,1,28,29
255,11-01-2011 23:00,1,0,1,3,6.56,9.85,93,6.0032,1,18,19
256,12-01-2011 00:00,1,0,1,2,6.56,9.85,86,6.0032,0,7,7
257,12-01-2011 01:00,1,0,1,2,6.56,9.09,86,7.0015,0,6,6
258,12-01-2011 02:00,1,0,1,1,5.74,7.575,86,8.9981,0,1,1
259,12-01-2011 05:00,1,0,1,1,5.74,7.575,86,11.0014,0,5,5
260,12-01-2011 06:00,1,0,1,1,4.92,7.575,93,8.9981,0,16,16
261,12-01-2011 07:00,1,0,1,1,5.74,7.575,69,8.9981,0,54,54
262,12-01-2011 08:00,1,0,1,1,6.56,8.335,59,11.0014,3,125,128
263,12-01-2011 09:00,1,0,1,1,6.56,6.82,59,22.0028,3,78,81
264,12-01-2011 10:00,1,0,1,1,7.38,9.09,55,15.0013,0,39,39
265,12-01-2011 11:00,1,0,1,1,8.2,9.09,51,26.0027,3,32,35
266,12-01-2011 12:00,1,0,1,1,8.2,7.575,47,39.0007,3,52,55
267,12-01-2011 13:00,1,0,1,1,9.02,9.85,44,23.9994,0,49,49
268,12-01-2011 14:00,1,0,1,1,8.2,9.09,47,22.0028,0,44,44
269,12-01-2011 15:00,1,0,1,1,8.2,8.335,47,27.9993,1,48,49
270,12-01-2011 16:00,1,0,1,1,9.02,9.85,44,22.0028,5,63,68
271,12-01-2011 17:00,1,0,1,1,8.2,9.09,47,23.9994,0,139,139
272,12-01-2011 18:00,1,0,1,1,8.2,7.575,47,35.0008,2,135,137
273,12-01-2011 19:00,1,0,1,1,7.38,7.575,47,27.9993,1,82,83
274,12-01-2011 20:00,1,0,1,1,6.56,6.82,50,22.0028,2,54,56
275,12-01-2011 21:00,1,0,1,1,6.56,6.82,55,22.0028,0,57,57
276,12-01-2011 22:00,1,0,1,1,6.56,6.06,55,30.0026,1,32,33
277,12-01-2011 23:00,1,0,1,1,5.74,5.305,59,27.9993,1,19,20
278,13-01-2011 00:00,1,0,1,1,5.74,6.06,59,19.0012,1,6,7
279,13-01-2011 01:00,1,0,1,1,5.74,6.06,50,19.0012,0,2,2
280,13-01-2011 02:00,1,0,1,1,5.74,6.06,50,23.9994,0,2,2
281,13-01-2011 03:00,1,0,1,1,5.74,6.06,50,22.0028,0,3,3
282,13-01-2011 04:00,1,0,1,1,5.74,6.06,50,16.9979,0,4,4
283,13-01-2011 05:00,1,0,1,1,5.74,6.06,50,19.9995,0,3,3
284,13-01-2011 06:00,1,0,1,1,4.92,7.575,54,8.9981,0,28,28
285,13-01-2011 07:00,1,0,1,1,4.92,7.575,54,8.9981,0,72,72
286,13-01-2011 08:00,1,0,1,1,5.74,6.82,50,12.998,5,197,202
287,13-01-2011 09:00,1,0,1,1,5.74,6.06,50,22.0028,2,137,139
288,13-01-2011 10:00,1,0,1,2,6.56,6.82,50,23.9994,2,36,38
289,13-01-2011 11:00,1,0,1,2,8.2,8.335,44,30.0026,4,33,37
290,13-01-2011 12:00,1,0,1,1,8.2,8.335,44,27.9993,3,49,52
291,13-01-2011 13:00,1,0,1,1,9.02,9.85,41,30.0026,2,81,83
292,13-01-2011 14:00,1,0,1,1,9.02,9.85,41,26.0027,3,39,42
293,13-01-2011 15:00,1,0,1,1,9.84,10.605,38,19.9995,5,55,60
294,13-01-2011 16:00,1,0,1,1,9.84,10.605,38,23.9994,2,76,78
295,13-01-2011 17:00,1,0,1,1,8.2,9.09,40,19.0012,4,158,162
296,13-01-2011 18:00,1,0,1,1,8.2,9.09,40,22.0028,3,141,144
297,13-01-2011 19:00,1,0,1,1,6.56,7.575,47,16.9979,1,98,99
298,13-01-2011 20:00,1,0,1,1,6.56,7.575,47,15.0013,0,64,64
299,13-01-2011 21:00,1,0,1,1,5.74,6.06,46,19.9995,0,40,40
300,13-01-2011 22:00,1,0,1,1,5.74,6.06,46,22.0028,0,30,30
301,13-01-2011 23:00,1,0,1,1,4.92,6.82,50,12.998,1,14,15
302,14-01-2011 00:00,1,0,1,1,4.92,6.82,50,12.998,0,14,14
303,14-01-2011 01:00,1,0,1,1,4.1,6.06,54,11.0014,0,5,5
304,14-01-2011 02:00,1,0,1,1,4.1,6.06,54,8.9981,0,1,1
305,14-01-2011 03:00,1,0,1,1,4.1,6.82,54,7.0015,0,1,1
306,14-01-2011 05:00,1,0,1,1,4.1,6.82,54,6.0032,0,8,8
307,14-01-2011 06:00,1,0,1,1,4.1,9.09,54,0,0,17,17
308,14-01-2011 07:00,1,0,1,1,4.1,6.06,74,11.0014,0,70,70
309,14-01-2011 08:00,1,0,1,1,4.92,8.335,68,0,2,156,158
310,14-01-2011 09:00,1,0,1,1,5.74,7.575,69,8.9981,0,117,117
311,14-01-2011 10:00,1,0,1,1,7.38,9.09,55,12.998,4,40,44
312,14-01-2011 11:00,1,0,1,1,7.38,8.335,51,19.0012,6,47,53
313,14-01-2011 12:00,1,0,1,1,8.2,9.85,44,16.9979,2,59,61
314,14-01-2011 13:00,1,0,1,1,9.02,9.85,37,26.0027,4,73,77
315,14-01-2011 14:00,1,0,1,1,9.02,10.605,41,19.0012,5,59,64
316,14-01-2011 15:00,1,0,1,1,9.84,12.12,38,11.0014,9,59,68
317,14-01-2011 16:00,1,0,1,1,9.02,12.12,41,7.0015,3,87,90
318,14-01-2011 17:00,1,0,1,1,9.02,11.365,41,11.0014,4,155,159
319,14-01-2011 18:00,1,0,1,1,8.2,12.88,47,0,5,134,139
320,14-01-2011 19:00,1,0,1,1,6.56,9.85,59,6.0032,3,89,92
321,14-01-2011 20:00,1,0,1,1,7.38,12.12,59,0,0,68,68
322,14-01-2011 21:00,1,0,1,1,6.56,11.365,69,0,4,48,52
323,14-01-2011 22:00,1,0,1,2,6.56,11.365,69,0,2,34,36
324,14-01-2011 23:00,1,0,1,2,7.38,12.12,55,0,1,26,27
325,15-01-2011 00:00,1,0,0,1,7.38,12.12,55,0,3,25,28
326,15-01-2011 01:00,1,0,0,2,6.56,9.85,59,6.0032,2,18,20
327,15-01-2011 02:00,1,0,0,2,6.56,9.85,59,6.0032,0,12,12
328,15-01-2011 03:00,1,0,0,2,6.56,11.365,59,0,1,7,8
329,15-01-2011 04:00,1,0,0,2,6.56,11.365,59,0,0,5,5
330,15-01-2011 05:00,1,0,0,1,6.56,11.365,59,0,0,1,1
331,15-01-2011 06:00,1,0,0,1,5.74,8.335,63,7.0015,1,2,3
332,15-01-2011 07:00,1,0,0,1,5.74,10.605,63,0,1,9,10
333,15-01-2011 08:00,1,0,0,1,5.74,7.575,63,8.9981,1,22,23
334,15-01-2011 09:00,1,0,0,1,6.56,9.09,64,8.9981,2,31,33
